Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
18:00:10	1		-90 dBm                     -89 dBm                     -88 dBm
18:00:12	2		-90 dBm                     -89 dBm                     -85 dBm
18:00:15	3		-90 dBm                     -89 dBm                     -85 dBm
18:00:17	4		-90 dBm                     -89 dBm                     -85 dBm
18:00:19	5		-90 dBm                     -87 dBm                     -85 dBm
18:00:22	6		-90 dBm                     -88 dBm                     -85 dBm
18:00:24	7		-90 dBm                     -90 dBm                     -84 dBm
18:00:27	8		-90 dBm                     -86 dBm                     -78 dBm
18:00:29	9		-90 dBm                     -86 dBm                     -78 dBm
18:00:31	10		-90 dBm                     -86 dBm                     -78 dBm
18:00:34	11		-90 dBm                     -86 dBm                     -89 dBm
18:00:36	12		-90 dBm                     -83 dBm                     -88 dBm
18:00:38	13		-90 dBm                     -83 dBm                     -91 dBm
18:00:40	14		-90 dBm                     -83 dBm                     -91 dBm
18:00:43	15		-90 dBm                     -86 dBm                     -91 dBm
18:00:48	16		-90 dBm                     -83 dBm                     -81 dBm
18:01:04	17		-86 dBm                     -83 dBm                     -77 dBm
18:01:08	18		-86 dBm                     -87 dBm                     -76 dBm
18:01:10	19		-85 dBm                     -87 dBm                     -71 dBm
18:01:13	20		-89 dBm                     -87 dBm                     -76 dBm
18:01:15	21		-89 dBm                     -84 dBm                     -84 dBm
18:01:17	22		-89 dBm                     -84 dBm                     -84 dBm
18:01:19	23		-89 dBm                     -82 dBm                     -84 dBm
18:01:22	24		-89 dBm                     -82 dBm                     -78 dBm
18:01:24	25		-91 dBm                     -82 dBm                     -75 dBm
18:01:26	26		-91 dBm                     -82 dBm                     -75 dBm
18:01:29	27		-91 dBm                     -82 dBm                     -75 dBm
18:01:31	28		-92 dBm                     -87 dBm                     -75 dBm
18:01:33	29		-90 dBm                     -87 dBm                     -80 dBm
18:01:36	30		-90 dBm                     -87 dBm                     -85 dBm
18:01:38	31		-90 dBm                     -87 dBm                     -85 dBm
18:01:43	32		-90 dBm                     -87 dBm                     -85 dBm
18:01:46	33		-90 dBm                     -89 dBm                     -85 dBm
18:02:10	34		-90 dBm                     -82 dBm                     -85 dBm
18:02:12	35		-90 dBm                     -82 dBm                     -85 dBm
18:02:14	36		-90 dBm                     -82 dBm                     -82 dBm
18:02:17	37		-90 dBm                     -82 dBm                     -82 dBm
18:02:19	38		-90 dBm                     -82 dBm                     -86 dBm
18:02:21	39		-90 dBm                     -82 dBm                     -77 dBm
18:02:23	40		-90 dBm                     -82 dBm                     -76 dBm
18:02:26	41		-88 dBm                     -82 dBm                     -70 dBm
18:02:33	42		-88 dBm                     -82 dBm                     -70 dBm
18:02:39	43		-88 dBm                     -82 dBm                     -75 dBm
18:02:41	44		-88 dBm                     -82 dBm                     -75 dBm
18:02:44	45		-92 dBm                     -82 dBm                     -75 dBm
18:02:46	46		-92 dBm                     -88 dBm                     -81 dBm
18:02:48	47		-92 dBm                     -88 dBm                     -77 dBm
18:03:01	48		-86 dBm                     -85 dBm                     -79 dBm
18:03:04	49		-86 dBm                     -85 dBm                     -82 dBm
18:03:06	50		-86 dBm                     -85 dBm                     -82 dBm
18:03:09	51		-86 dBm                     -84 dBm                     -82 dBm
18:03:14	52		-86 dBm                     -84 dBm                     -83 dBm
18:03:17	53		-86 dBm                     -87 dBm                     -83 dBm
18:03:19	54		-86 dBm                     -87 dBm                     -83 dBm
18:03:22	55		-86 dBm                     -87 dBm                     -83 dBm
18:03:24	56		-86 dBm                     -87 dBm                     -83 dBm
18:03:26	57		-86 dBm                     -87 dBm                     -83 dBm
18:03:29	58		-86 dBm                     -87 dBm                     -83 dBm
18:03:31	59		-86 dBm                     -87 dBm                     -83 dBm
18:03:33	60		-86 dBm                     -87 dBm                     -83 dBm
18:03:36	61		-86 dBm                     -93 dBm                     -81 dBm
18:03:38	62		-86 dBm                     -93 dBm                     -86 dBm
18:03:40	63		-83 dBm                     -89 dBm                     -86 dBm
18:03:45	64		-83 dBm                     -85 dBm                     -82 dBm
18:03:48	65		-86 dBm                     -87 dBm                     -82 dBm
18:04:01	66		-86 dBm                     -87 dBm                     -82 dBm
18:04:04	67		-86 dBm                     -89 dBm                     -82 dBm
18:04:06	68		-86 dBm                     -84 dBm                     -76 dBm
18:04:09	69		-86 dBm                     -84 dBm                     -81 dBm
18:04:11	70		-86 dBm                     -84 dBm                     -81 dBm
18:04:14	71		-86 dBm                     -88 dBm                     -75 dBm
18:04:16	72		-86 dBm                     -88 dBm                     -77 dBm
18:04:18	73		-86 dBm                     -81 dBm                     -77 dBm
18:04:21	74		-86 dBm                     -79 dBm                     -77 dBm
18:04:23	75		-86 dBm                     -87 dBm                     -77 dBm
18:04:26	76		-86 dBm                     -87 dBm                     -84 dBm
18:05:01	77		-86 dBm                     -88 dBm                     -83 dBm
18:05:03	78		-86 dBm                     -88 dBm                     -83 dBm
18:05:06	79		-86 dBm                     -88 dBm                     -88 dBm
18:05:08	80		-86 dBm                     -87 dBm                     -86 dBm
18:05:10	81		-86 dBm                     -87 dBm                     -86 dBm
18:05:12	82		-86 dBm                     -87 dBm                     -86 dBm
18:05:18	83		-86 dBm                     -87 dBm                     -86 dBm
18:05:20	84		-86 dBm                     -87 dBm                     -86 dBm
18:05:22	85		-86 dBm                     -87 dBm                     -86 dBm
18:05:25	86		-86 dBm                     -87 dBm                     -89 dBm
18:05:27	87		-86 dBm                     -87 dBm                     -89 dBm
18:05:29	88		-86 dBm                     -88 dBm                     -89 dBm
18:05:32	89		-86 dBm                     -88 dBm                     -89 dBm
18:05:34	90		-86 dBm                     -88 dBm                     -90 dBm
18:05:36	91		-86 dBm                     -88 dBm                     -90 dBm
18:05:39	92		-86 dBm                     -88 dBm                     -90 dBm
18:05:41	93		-86 dBm                     -88 dBm                     -90 dBm
18:05:43	94		-86 dBm                     -88 dBm                     -90 dBm
18:05:45	95		-86 dBm                     -88 dBm                     -90 dBm
18:05:48	96		-86 dBm                     -88 dBm                     -90 dBm
18:06:01	97		-86 dBm                     -89 dBm                     -90 dBm
18:06:05	98		-86 dBm                     -89 dBm                     -90 dBm
18:06:07	99		-86 dBm                     -89 dBm                     -90 dBm
18:06:10	100		-86 dBm                     -89 dBm                     -90 dBm
18:06:12	101		-86 dBm                     -89 dBm                     -90 dBm
18:06:14	102		-86 dBm                     -89 dBm                     -90 dBm
18:06:17	103		-86 dBm                     -89 dBm                     -90 dBm
18:06:19	104		-86 dBm                     -89 dBm                     -90 dBm
18:06:21	105		-86 dBm                     -89 dBm                     -90 dBm
18:06:27	106		-86 dBm                     -89 dBm                     -90 dBm
18:06:34	107		-86 dBm                     -89 dBm                     -90 dBm
18:06:36	108		-86 dBm                     -89 dBm                     -90 dBm
18:06:39	109		-86 dBm                     -89 dBm                     -90 dBm
18:06:42	110		-86 dBm                     -89 dBm                     -90 dBm
18:06:44	111		-86 dBm                     -89 dBm                     -90 dBm
18:06:46	112		-86 dBm                     -89 dBm                     -90 dBm
18:06:58	113		-86 dBm                     -89 dBm                     -90 dBm
18:07:00	114		-86 dBm                     -89 dBm                     -90 dBm
18:07:03	115		-86 dBm                     -89 dBm                     -90 dBm
18:07:05	116		-86 dBm                     -89 dBm                     -90 dBm
18:07:07	117		-86 dBm                     -89 dBm                     -90 dBm
18:07:10	118		-86 dBm                     -89 dBm                     -90 dBm
18:07:12	119		-86 dBm                     -89 dBm                     -90 dBm
18:07:14	120		-86 dBm                     -89 dBm                     -90 dBm
18:07:17	121		-86 dBm                     -89 dBm                     -90 dBm
18:07:19	122		-86 dBm                     -89 dBm                     -90 dBm
18:07:24	123		-86 dBm                     -89 dBm                     -90 dBm
18:07:27	124		-86 dBm                     -89 dBm                     -90 dBm
18:07:30	125		-86 dBm                     -89 dBm                     -90 dBm
