Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
16:45:05	1		0 dBm                       -87 dBm                     0 dBm
16:45:08	2		0 dBm                       -85 dBm                     -90 dBm
16:45:10	3		0 dBm                       -86 dBm                     -90 dBm
16:45:12	4		0 dBm                       -92 dBm                     -85 dBm
16:45:15	5		0 dBm                       -92 dBm                     -85 dBm
16:45:17	6		0 dBm                       -93 dBm                     -89 dBm
16:45:20	7		0 dBm                       -93 dBm                     -89 dBm
16:45:22	8		0 dBm                       -90 dBm                     -86 dBm
16:45:24	9		0 dBm                       -90 dBm                     -85 dBm
16:45:27	10		0 dBm                       -90 dBm                     -85 dBm
16:45:29	11		0 dBm                       -90 dBm                     -82 dBm
16:45:31	12		0 dBm                       -90 dBm                     -86 dBm
16:45:34	13		0 dBm                       -90 dBm                     -82 dBm
16:45:36	14		0 dBm                       -83 dBm                     -87 dBm
16:45:38	15		0 dBm                       -83 dBm                     -90 dBm
16:45:40	16		0 dBm                       -83 dBm                     -87 dBm
16:45:43	17		0 dBm                       -83 dBm                     -90 dBm
16:45:45	18		0 dBm                       -83 dBm                     -90 dBm
16:45:47	19		0 dBm                       -84 dBm                     -90 dBm
16:45:50	20		0 dBm                       -84 dBm                     -90 dBm
16:45:52	21		0 dBm                       -84 dBm                     -90 dBm
16:45:54	22		0 dBm                       -82 dBm                     -90 dBm
16:45:57	23		0 dBm                       -87 dBm                     -89 dBm
16:45:59	24		0 dBm                       -82 dBm                     -89 dBm
16:46:01	25		0 dBm                       -77 dBm                     -89 dBm
16:46:04	26		0 dBm                       -77 dBm                     -83 dBm
16:46:06	27		0 dBm                       -74 dBm                     -83 dBm
16:46:08	28		0 dBm                       -77 dBm                     -83 dBm
16:46:11	29		0 dBm                       -77 dBm                     -84 dBm
16:46:13	30		0 dBm                       -77 dBm                     -80 dBm
16:46:15	31		0 dBm                       -82 dBm                     -80 dBm
16:46:18	32		0 dBm                       -77 dBm                     -80 dBm
16:46:20	33		0 dBm                       -81 dBm                     -80 dBm
16:46:22	34		0 dBm                       -85 dBm                     -76 dBm
16:46:25	35		0 dBm                       -85 dBm                     -76 dBm
16:46:27	36		-82 dBm                     -84 dBm                     -89 dBm
16:46:29	37		-82 dBm                     -84 dBm                     -89 dBm
16:46:32	38		-82 dBm                     -81 dBm                     -89 dBm
16:46:34	39		-82 dBm                     -85 dBm                     -76 dBm
16:46:37	40		-82 dBm                     -84 dBm                     -76 dBm
16:46:39	41		-82 dBm                     -88 dBm                     -76 dBm
16:46:41	42		-82 dBm                     -85 dBm                     -76 dBm
16:46:44	43		-82 dBm                     -85 dBm                     -76 dBm
16:46:46	44		-82 dBm                     -92 dBm                     -83 dBm
16:46:48	45		-82 dBm                     -92 dBm                     -87 dBm
16:46:51	46		-82 dBm                     -88 dBm                     -87 dBm
16:46:53	47		-82 dBm                     -88 dBm                     -82 dBm
16:46:55	48		-82 dBm                     -88 dBm                     -82 dBm
16:46:58	49		-81 dBm                     -88 dBm                     -82 dBm
16:47:00	50		-81 dBm                     -88 dBm                     -79 dBm
16:47:02	51		-81 dBm                     -89 dBm                     -79 dBm
16:47:05	52		-81 dBm                     -89 dBm                     -82 dBm
16:47:07	53		-86 dBm                     -89 dBm                     -83 dBm
16:47:09	54		-86 dBm                     -89 dBm                     -89 dBm
16:47:12	55		-86 dBm                     -89 dBm                     -89 dBm
16:47:14	56		-86 dBm                     -89 dBm                     -82 dBm
16:47:17	57		-86 dBm                     -89 dBm                     -88 dBm
16:47:19	58		-85 dBm                     -89 dBm                     -88 dBm
16:47:21	59		-85 dBm                     -89 dBm                     -88 dBm
16:47:24	60		-85 dBm                     -89 dBm                     -88 dBm
16:47:26	61		-83 dBm                     -89 dBm                     -85 dBm
16:47:28	62		-83 dBm                     -89 dBm                     -85 dBm
16:47:31	63		-83 dBm                     -89 dBm                     -85 dBm
16:47:33	64		-81 dBm                     -87 dBm                     -84 dBm
16:47:35	65		-81 dBm                     -87 dBm                     -84 dBm
16:47:38	66		-83 dBm                     -87 dBm                     -84 dBm
16:47:40	67		-83 dBm                     -89 dBm                     -87 dBm
16:47:43	68		-86 dBm                     -89 dBm                     -87 dBm
16:47:45	69		-86 dBm                     -86 dBm                     -87 dBm
16:47:47	70		-86 dBm                     -86 dBm                     -87 dBm
16:47:50	71		-86 dBm                     -86 dBm                     -87 dBm
16:47:52	72		-83 dBm                     -86 dBm                     -87 dBm
16:47:54	73		-83 dBm                     -86 dBm                     -87 dBm
16:47:57	74		-83 dBm                     -86 dBm                     -82 dBm
16:47:59	75		-83 dBm                     -86 dBm                     -78 dBm
16:48:01	76		-83 dBm                     -86 dBm                     -80 dBm
16:48:04	77		-83 dBm                     -85 dBm                     -80 dBm
16:48:06	78		-79 dBm                     -87 dBm                     -75 dBm
16:48:08	79		-79 dBm                     -87 dBm                     -75 dBm
16:48:11	80		-80 dBm                     -87 dBm                     -78 dBm
16:48:13	81		-80 dBm                     -87 dBm                     -78 dBm
16:48:15	82		-80 dBm                     -87 dBm                     -77 dBm
16:48:18	83		-80 dBm                     -87 dBm                     -77 dBm
16:48:20	84		-83 dBm                     -87 dBm                     -76 dBm
16:48:23	85		-83 dBm                     -87 dBm                     -76 dBm
16:48:25	86		-83 dBm                     -87 dBm                     -76 dBm
16:48:27	87		-83 dBm                     -87 dBm                     -76 dBm
16:48:30	88		-83 dBm                     -87 dBm                     -76 dBm
16:48:32	89		-83 dBm                     -87 dBm                     -76 dBm
16:48:34	90		-83 dBm                     -87 dBm                     -76 dBm
16:48:37	91		-83 dBm                     -87 dBm                     -76 dBm
16:48:39	92		-83 dBm                     -87 dBm                     -87 dBm
16:48:42	93		-83 dBm                     -89 dBm                     -87 dBm
16:48:44	94		-83 dBm                     -79 dBm                     -87 dBm
16:48:47	95		-83 dBm                     -78 dBm                     -76 dBm
16:48:49	96		-83 dBm                     -78 dBm                     -76 dBm
16:48:52	97		-81 dBm                     -78 dBm                     -79 dBm
16:48:54	98		-81 dBm                     -81 dBm                     -79 dBm
16:48:56	99		-83 dBm                     -81 dBm                     -74 dBm
16:48:59	100		-81 dBm                     -84 dBm                     -75 dBm
16:49:01	101		-78 dBm                     -80 dBm                     -80 dBm
16:49:03	102		-78 dBm                     -86 dBm                     -80 dBm
16:49:06	103		-78 dBm                     -77 dBm                     -74 dBm
16:49:08	104		-78 dBm                     -77 dBm                     -74 dBm
16:49:10	105		-78 dBm                     -86 dBm                     -87 dBm
16:49:13	106		-78 dBm                     -86 dBm                     -87 dBm
16:49:15	107		-78 dBm                     -86 dBm                     -87 dBm
16:49:18	108		-78 dBm                     -84 dBm                     -84 dBm
16:49:20	109		-78 dBm                     -84 dBm                     -84 dBm
16:49:22	110		-78 dBm                     -84 dBm                     -87 dBm
16:49:25	111		-75 dBm                     -84 dBm                     -79 dBm
16:49:28	112		-75 dBm                     -87 dBm                     -81 dBm
16:49:31	113		-75 dBm                     -87 dBm                     -81 dBm
16:49:33	114		-75 dBm                     -87 dBm                     -81 dBm
16:49:36	115		-75 dBm                     -87 dBm                     -81 dBm
16:49:39	116		-75 dBm                     -87 dBm                     -81 dBm
16:49:42	117		-85 dBm                     -87 dBm                     -81 dBm
16:49:44	118		-85 dBm                     -87 dBm                     -81 dBm
16:49:47	119		-85 dBm                     -88 dBm                     -86 dBm
16:49:49	120		-85 dBm                     -88 dBm                     -86 dBm
16:49:51	121		-85 dBm                     -88 dBm                     -86 dBm
16:49:54	122		-85 dBm                     -89 dBm                     -86 dBm
16:49:56	123		-85 dBm                     -86 dBm                     -86 dBm
16:49:59	124		-85 dBm                     -86 dBm                     -86 dBm
16:50:01	125		-84 dBm                     -88 dBm                     -86 dBm
16:50:03	126		-84 dBm                     -83 dBm                     -77 dBm
16:50:06	127		-84 dBm                     -83 dBm                     -77 dBm
16:50:08	128		-84 dBm                     -83 dBm                     -77 dBm
16:50:10	129		-84 dBm                     -81 dBm                     -77 dBm
16:50:13	130		-83 dBm                     -81 dBm                     -84 dBm
16:50:15	131		-83 dBm                     -81 dBm                     -81 dBm
16:50:17	132		-83 dBm                     -81 dBm                     -81 dBm
16:50:20	133		-83 dBm                     -81 dBm                     -81 dBm
16:50:22	134		-83 dBm                     -81 dBm                     -92 dBm
16:50:25	135		-83 dBm                     -81 dBm                     -86 dBm
16:50:27	136		-83 dBm                     -81 dBm                     -88 dBm
16:50:29	137		-83 dBm                     -81 dBm                     -88 dBm
