Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
15:07:40	1		-81 dBm                     -76 dBm                     -86 dBm
15:07:42	2		-84 dBm                     -69 dBm                     -86 dBm
15:07:45	3		-86 dBm                     -78 dBm                     -86 dBm
15:07:47	4		-76 dBm                     -74 dBm                     -86 dBm
15:07:49	5		-84 dBm                     -72 dBm                     -86 dBm
15:07:52	6		-85 dBm                     -68 dBm                     -86 dBm
15:07:54	7		-85 dBm                     -72 dBm                     -86 dBm
15:07:56	8		-85 dBm                     -72 dBm                     -86 dBm
15:07:59	9		-88 dBm                     -76 dBm                     -83 dBm
15:08:01	10		-89 dBm                     -72 dBm                     -83 dBm
15:08:03	11		-89 dBm                     -68 dBm                     -83 dBm
15:08:06	12		-83 dBm                     -70 dBm                     -83 dBm
15:08:08	13		-88 dBm                     -74 dBm                     -83 dBm
15:08:11	14		-86 dBm                     -69 dBm                     -83 dBm
15:08:13	15		-86 dBm                     -80 dBm                     -82 dBm
15:08:15	16		-83 dBm                     -71 dBm                     -82 dBm
15:08:18	17		-83 dBm                     -67 dBm                     -82 dBm
15:08:20	18		-88 dBm                     -70 dBm                     -82 dBm
15:08:23	19		-84 dBm                     -76 dBm                     -82 dBm
15:08:25	20		-84 dBm                     -71 dBm                     -79 dBm
15:08:27	21		-85 dBm                     -69 dBm                     -79 dBm
15:08:30	22		-79 dBm                     -71 dBm                     -79 dBm
15:08:32	23		-79 dBm                     -66 dBm                     -79 dBm
15:08:35	24		-84 dBm                     -70 dBm                     -79 dBm
15:08:37	25		-84 dBm                     -70 dBm                     -80 dBm
15:08:39	26		-84 dBm                     -68 dBm                     -79 dBm
15:08:42	27		-84 dBm                     -73 dBm                     -79 dBm
15:08:44	28		-77 dBm                     -69 dBm                     -79 dBm
15:08:46	29		-77 dBm                     -68 dBm                     -79 dBm
15:08:49	30		-83 dBm                     -72 dBm                     -85 dBm
15:08:51	31		-78 dBm                     -63 dBm                     -84 dBm
15:08:53	32		-78 dBm                     -69 dBm                     -81 dBm
15:08:56	33		-77 dBm                     -77 dBm                     -81 dBm
15:08:58	34		-77 dBm                     -76 dBm                     -81 dBm
15:09:01	35		-77 dBm                     -71 dBm                     -75 dBm
15:09:03	36		-77 dBm                     -75 dBm                     -75 dBm
15:09:05	37		-83 dBm                     -68 dBm                     -80 dBm
15:09:08	38		-80 dBm                     -69 dBm                     -81 dBm
15:09:10	39		-75 dBm                     -67 dBm                     -81 dBm
15:09:12	40		-80 dBm                     -66 dBm                     -80 dBm
15:09:15	41		-80 dBm                     -73 dBm                     -80 dBm
15:09:19	42		-80 dBm                     -61 dBm                     -80 dBm
15:09:22	43		-82 dBm                     -64 dBm                     -80 dBm
15:09:25	44		-82 dBm                     -61 dBm                     -78 dBm
15:09:27	45		-82 dBm                     -70 dBm                     -78 dBm
15:09:29	46		-80 dBm                     -63 dBm                     -78 dBm
15:09:32	47		-81 dBm                     -63 dBm                     -77 dBm
15:09:34	48		-81 dBm                     -64 dBm                     -77 dBm
15:09:37	49		-81 dBm                     -70 dBm                     -77 dBm
15:09:39	50		-81 dBm                     -67 dBm                     -77 dBm
15:09:42	51		-90 dBm                     -63 dBm                     -77 dBm
15:09:44	52		-90 dBm                     -70 dBm                     -77 dBm
15:09:47	53		-78 dBm                     -65 dBm                     -83 dBm
15:09:49	54		-78 dBm                     -63 dBm                     -80 dBm
15:09:52	55		-78 dBm                     -66 dBm                     -80 dBm
15:09:54	56		-78 dBm                     -72 dBm                     -74 dBm
15:09:56	57		-85 dBm                     -64 dBm                     -76 dBm
