Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
17:19:23	1		-68 dBm                     -81 dBm                     -63 dBm
17:19:27	3		-67 dBm                     -76 dBm                     -62 dBm
17:19:29	4		-65 dBm                     -79 dBm                     -62 dBm
17:19:32	5		-66 dBm                     -73 dBm                     -63 dBm
17:19:34	6		-63 dBm                     -77 dBm                     -65 dBm
17:19:36	7		-65 dBm                     -69 dBm                     -61 dBm
17:19:39	8		-74 dBm                     -67 dBm                     -61 dBm
17:19:41	9		-70 dBm                     -73 dBm                     -59 dBm
17:19:43	10		-63 dBm                     -78 dBm                     -55 dBm
17:19:45	11		-62 dBm                     -81 dBm                     -61 dBm
17:19:48	12		-60 dBm                     -82 dBm                     -55 dBm
17:19:50	13		-63 dBm                     -82 dBm                     -60 dBm
17:19:52	14		-68 dBm                     -84 dBm                     -56 dBm
17:19:55	15		-68 dBm                     -83 dBm                     -54 dBm
17:19:57	16		-73 dBm                     -83 dBm                     -57 dBm
17:19:59	17		-69 dBm                     -85 dBm                     -62 dBm
17:20:01	18		-62 dBm                     -85 dBm                     -61 dBm
17:20:04	19		-62 dBm                     -78 dBm                     -59 dBm
17:20:06	20		-70 dBm                     -86 dBm                     -67 dBm
17:20:08	21		-72 dBm                     -78 dBm                     -58 dBm
17:20:14	23		-60 dBm                     -80 dBm                     -56 dBm
17:20:16	24		-61 dBm                     -83 dBm                     -56 dBm
17:20:22	26		-66 dBm                     -83 dBm                     -60 dBm
17:20:24	27		-63 dBm                     -83 dBm                     -57 dBm
17:20:26	28		-69 dBm                     -79 dBm                     -66 dBm
17:20:29	29		-69 dBm                     -82 dBm                     -59 dBm
17:20:31	30		-70 dBm                     -79 dBm                     -55 dBm
17:20:33	31		-69 dBm                     -80 dBm                     -53 dBm
17:20:35	32		-78 dBm                     -73 dBm                     -58 dBm
17:20:41	33		-68 dBm                     -85 dBm                     -58 dBm
17:20:43	34		-68 dBm                     -89 dBm                     -54 dBm
17:20:45	35		-82 dBm                     -89 dBm                     -61 dBm
17:20:51	36		-74 dBm                     -80 dBm                     -51 dBm
17:20:53	37		-69 dBm                     -78 dBm                     -53 dBm
17:21:03	39		-74 dBm                     -78 dBm                     -55 dBm
17:21:06	40		-66 dBm                     -88 dBm                     -58 dBm
17:21:08	41		-70 dBm                     -74 dBm                     -59 dBm
17:21:10	42		-64 dBm                     -78 dBm                     -59 dBm
17:21:13	43		-64 dBm                     -78 dBm                     -57 dBm
17:21:15	44		-63 dBm                     -78 dBm                     -58 dBm
17:21:17	45		-65 dBm                     -84 dBm                     -58 dBm
17:21:19	46		-69 dBm                     -82 dBm                     -62 dBm
17:21:22	47		-82 dBm                     -86 dBm                     -59 dBm
17:21:24	48		-76 dBm                     -82 dBm                     -67 dBm
17:21:26	49		-75 dBm                     -81 dBm                     -59 dBm
17:21:29	50		-71 dBm                     -78 dBm                     -59 dBm
17:21:31	51		-69 dBm                     -77 dBm                     -60 dBm
17:21:33	52		-69 dBm                     -76 dBm                     -60 dBm
17:21:35	53		-76 dBm                     -86 dBm                     -59 dBm
17:21:38	54		-73 dBm                     -87 dBm                     -59 dBm
17:21:40	55		-71 dBm                     -82 dBm                     -62 dBm
17:21:42	56		-69 dBm                     -82 dBm                     -60 dBm
17:21:45	57		-73 dBm                     -83 dBm                     -56 dBm
17:21:47	58		-72 dBm                     -83 dBm                     -63 dBm
17:21:49	59		-74 dBm                     -87 dBm                     -67 dBm
17:21:52	60		-74 dBm                     -84 dBm                     -68 dBm
