Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
16:20:33	1		-65 dBm                     -78 dBm                     -60 dBm
16:20:36	2		-61 dBm                     -72 dBm                     -59 dBm
16:20:38	3		-69 dBm                     -73 dBm                     -59 dBm
16:20:40	4		-69 dBm                     -73 dBm                     -63 dBm
16:20:43	5		-66 dBm                     -73 dBm                     -61 dBm
16:20:45	6		-81 dBm                     -79 dBm                     -62 dBm
16:20:49	7		-67 dBm                     -79 dBm                     -63 dBm
16:20:52	8		-68 dBm                     -81 dBm                     -66 dBm
16:20:54	9		-65 dBm                     -81 dBm                     -66 dBm
16:20:56	10		-66 dBm                     -81 dBm                     -66 dBm
16:20:59	11		-64 dBm                     -68 dBm                     -66 dBm
16:21:01	12		-63 dBm                     -77 dBm                     -62 dBm
16:21:04	13		-63 dBm                     -77 dBm                     -62 dBm
16:21:06	14		-66 dBm                     -80 dBm                     -66 dBm
16:21:08	15		-71 dBm                     -80 dBm                     -60 dBm
16:21:11	16		-73 dBm                     -80 dBm                     -64 dBm
16:21:13	17		-73 dBm                     -82 dBm                     -58 dBm
16:21:16	18		-73 dBm                     -85 dBm                     -58 dBm
16:21:18	19		-75 dBm                     -88 dBm                     -61 dBm
16:21:20	20		-76 dBm                     -80 dBm                     -56 dBm
16:21:23	21		-71 dBm                     -80 dBm                     -61 dBm
16:21:25	22		-68 dBm                     -80 dBm                     -63 dBm
16:21:28	23		-67 dBm                     -80 dBm                     -55 dBm
16:21:30	24		-67 dBm                     -80 dBm                     -55 dBm
16:21:32	25		-68 dBm                     -80 dBm                     -55 dBm
16:21:35	26		-67 dBm                     -80 dBm                     -55 dBm
16:21:37	27		-67 dBm                     -80 dBm                     -59 dBm
16:21:40	28		-72 dBm                     -80 dBm                     -56 dBm
16:21:42	29		-74 dBm                     -80 dBm                     -52 dBm
16:21:44	30		-71 dBm                     -80 dBm                     -52 dBm
16:21:47	31		-73 dBm                     -77 dBm                     -55 dBm
16:21:49	32		-70 dBm                     -77 dBm                     -57 dBm
16:21:51	33		-71 dBm                     -77 dBm                     -57 dBm
16:21:54	34		-71 dBm                     -77 dBm                     -55 dBm
16:21:56	35		-75 dBm                     -83 dBm                     -54 dBm
16:21:59	36		-72 dBm                     -83 dBm                     -54 dBm
16:22:01	37		-77 dBm                     -78 dBm                     -51 dBm
16:22:03	38		-72 dBm                     -85 dBm                     -45 dBm
16:22:06	39		-72 dBm                     -83 dBm                     -51 dBm
16:22:08	40		-79 dBm                     -79 dBm                     -44 dBm
16:22:11	41		-70 dBm                     -79 dBm                     -50 dBm
16:22:13	42		-68 dBm                     -79 dBm                     -45 dBm
16:22:16	43		-70 dBm                     -79 dBm                     -54 dBm
16:22:18	44		-70 dBm                     -79 dBm                     -57 dBm
16:22:20	45		-67 dBm                     -79 dBm                     -54 dBm
16:22:23	46		-72 dBm                     -87 dBm                     -46 dBm
16:22:25	47		-74 dBm                     -87 dBm                     -46 dBm
16:22:28	48		-75 dBm                     -87 dBm                     -55 dBm
16:22:30	49		-81 dBm                     -87 dBm                     -61 dBm
16:22:32	50		-81 dBm                     -75 dBm                     -61 dBm
16:22:35	51		-74 dBm                     -80 dBm                     -58 dBm
16:22:38	52		-70 dBm                     -80 dBm                     -57 dBm
16:22:40	53		-74 dBm                     -80 dBm                     -58 dBm
16:22:44	54		-80 dBm                     -82 dBm                     -59 dBm
16:22:47	55		-76 dBm                     -82 dBm                     -71 dBm
16:22:49	56		-71 dBm                     -80 dBm                     -65 dBm
16:22:52	57		-75 dBm                     -80 dBm                     -67 dBm
16:22:54	58		-81 dBm                     -80 dBm                     -70 dBm
16:22:57	59		-75 dBm                     -80 dBm                     -70 dBm
16:22:59	60		-75 dBm                     -80 dBm                     -66 dBm
16:23:01	61		-82 dBm                     -80 dBm                     -67 dBm
16:23:04	62		-82 dBm                     -80 dBm                     -62 dBm
16:23:06	63		-82 dBm                     -80 dBm                     -62 dBm
16:23:08	64		-82 dBm                     -80 dBm                     -62 dBm
16:23:11	65		-82 dBm                     -80 dBm                     -64 dBm
16:23:13	66		-82 dBm                     -80 dBm                     -58 dBm
16:23:16	67		-73 dBm                     -79 dBm                     -61 dBm
16:23:18	68		-73 dBm                     -74 dBm                     -62 dBm
16:23:21	69		-77 dBm                     -84 dBm                     -64 dBm
16:23:23	70		-71 dBm                     -74 dBm                     -55 dBm
16:23:25	71		-71 dBm                     -79 dBm                     -55 dBm
16:23:28	72		-71 dBm                     -79 dBm                     -56 dBm
16:23:30	73		-71 dBm                     -79 dBm                     -57 dBm
16:23:33	74		-71 dBm                     -79 dBm                     -57 dBm
16:23:35	75		-73 dBm                     -79 dBm                     -60 dBm
16:23:37	76		-69 dBm                     -79 dBm                     -61 dBm
16:23:40	77		-72 dBm                     -79 dBm                     -65 dBm
16:23:43	78		-73 dBm                     -75 dBm                     -65 dBm
16:23:45	79		-76 dBm                     -80 dBm                     -64 dBm
16:23:47	80		-78 dBm                     -80 dBm                     -65 dBm
16:23:50	81		-74 dBm                     -69 dBm                     -65 dBm
16:23:52	82		-78 dBm                     -87 dBm                     -75 dBm
16:23:55	83		-73 dBm                     -82 dBm                     -75 dBm
16:23:57	84		-73 dBm                     -82 dBm                     -75 dBm
16:23:59	85		-73 dBm                     -78 dBm                     -75 dBm
16:24:02	86		-73 dBm                     -75 dBm                     -67 dBm
16:24:04	87		-73 dBm                     -77 dBm                     -66 dBm
16:24:07	88		-73 dBm                     -75 dBm                     -72 dBm
16:24:09	89		-81 dBm                     -75 dBm                     -76 dBm
16:24:12	90		-81 dBm                     -75 dBm                     -76 dBm
16:24:14	91		-76 dBm                     -75 dBm                     -80 dBm
16:24:16	92		-74 dBm                     -78 dBm                     -80 dBm
16:24:19	93		-77 dBm                     -76 dBm                     -80 dBm
16:24:21	94		-79 dBm                     -76 dBm                     -78 dBm
16:24:23	95		-73 dBm                     -73 dBm                     -66 dBm
16:24:26	96		-82 dBm                     -75 dBm                     -70 dBm
16:24:28	97		-82 dBm                     -75 dBm                     -68 dBm
16:24:31	98		-77 dBm                     -75 dBm                     -67 dBm
16:24:33	99		-80 dBm                     -78 dBm                     -67 dBm
16:24:35	100		-81 dBm                     -78 dBm                     -74 dBm
16:24:38	101		-78 dBm                     -77 dBm                     -71 dBm
16:24:40	102		-78 dBm                     -77 dBm                     -69 dBm
16:24:43	103		-83 dBm                     -79 dBm                     -68 dBm
16:24:45	104		-83 dBm                     -85 dBm                     -68 dBm
16:24:48	105		-83 dBm                     -83 dBm                     -69 dBm
16:24:50	106		-77 dBm                     -88 dBm                     -75 dBm
16:24:52	107		-77 dBm                     -80 dBm                     -67 dBm
16:24:55	108		-77 dBm                     -78 dBm                     -69 dBm
16:24:57	109		-77 dBm                     -77 dBm                     -70 dBm
16:25:00	110		-80 dBm                     -77 dBm                     -75 dBm
16:25:02	111		-80 dBm                     -77 dBm                     -75 dBm
16:25:04	112		-85 dBm                     -77 dBm                     -83 dBm
16:25:07	113		-83 dBm                     -83 dBm                     -73 dBm
16:25:09	114		-86 dBm                     -83 dBm                     -73 dBm
16:25:12	115		-86 dBm                     -77 dBm                     -73 dBm
16:25:14	116		-82 dBm                     -77 dBm                     -78 dBm
16:25:16	117		-77 dBm                     -82 dBm                     -78 dBm
16:25:19	118		-77 dBm                     -85 dBm                     -72 dBm
16:25:21	119		-80 dBm                     -85 dBm                     -70 dBm
