Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
11:25:50	1		0 dBm                       -70 dBm                     0 dBm
11:25:52	2		0 dBm                       -71 dBm                     0 dBm
11:25:55	3		0 dBm                       -71 dBm                     0 dBm
11:25:57	4		0 dBm                       -74 dBm                     0 dBm
11:26:00	5		0 dBm                       -69 dBm                     0 dBm
11:26:03	6		0 dBm                       -72 dBm                     -83 dBm
11:26:05	7		0 dBm                       -74 dBm                     -88 dBm
11:26:07	8		0 dBm                       -69 dBm                     -87 dBm
11:26:10	9		-80 dBm                     -69 dBm                     -86 dBm
11:26:12	10		-80 dBm                     -72 dBm                     -86 dBm
11:26:14	11		-80 dBm                     -68 dBm                     -86 dBm
11:26:17	12		-80 dBm                     -75 dBm                     -86 dBm
11:26:19	13		-80 dBm                     -68 dBm                     -86 dBm
11:26:21	14		-80 dBm                     -72 dBm                     -86 dBm
11:26:24	15		-79 dBm                     -69 dBm                     -86 dBm
11:26:26	16		-79 dBm                     -69 dBm                     -86 dBm
11:26:29	17		-88 dBm                     -70 dBm                     -86 dBm
11:26:31	18		-88 dBm                     -65 dBm                     -86 dBm
11:26:34	19		-88 dBm                     -71 dBm                     -86 dBm
11:26:36	20		-88 dBm                     -71 dBm                     -79 dBm
11:26:39	21		-88 dBm                     -67 dBm                     -79 dBm
11:26:41	22		-85 dBm                     -69 dBm                     -79 dBm
11:26:43	23		-85 dBm                     -66 dBm                     -79 dBm
11:26:46	24		-85 dBm                     -66 dBm                     -79 dBm
11:26:48	25		-85 dBm                     -66 dBm                     -79 dBm
11:26:51	26		-85 dBm                     -64 dBm                     -79 dBm
11:26:54	27		-83 dBm                     -64 dBm                     -79 dBm
11:26:56	28		-83 dBm                     -64 dBm                     -79 dBm
11:26:58	29		-83 dBm                     -61 dBm                     -79 dBm
11:27:01	30		-83 dBm                     -61 dBm                     -79 dBm
11:27:03	31		-83 dBm                     -65 dBm                     -79 dBm
11:27:07	32		-83 dBm                     -66 dBm                     -79 dBm
11:27:10	33		-83 dBm                     -63 dBm                     -79 dBm
11:27:12	34		-83 dBm                     -61 dBm                     -79 dBm
11:27:15	35		-83 dBm                     -58 dBm                     -79 dBm
11:27:17	36		-83 dBm                     -62 dBm                     -79 dBm
11:27:20	37		-83 dBm                     -65 dBm                     -79 dBm
11:27:22	38		-83 dBm                     -66 dBm                     -79 dBm
11:27:24	39		-83 dBm                     -60 dBm                     -79 dBm
11:27:27	40		-83 dBm                     -59 dBm                     -79 dBm
11:27:29	41		-81 dBm                     -61 dBm                     -79 dBm
11:27:31	42		-81 dBm                     -60 dBm                     -76 dBm
11:27:34	43		-81 dBm                     -63 dBm                     -76 dBm
11:27:36	44		-85 dBm                     -65 dBm                     -89 dBm
11:27:39	45		-85 dBm                     -65 dBm                     -89 dBm
11:27:41	46		-85 dBm                     -65 dBm                     -89 dBm
11:27:43	47		-85 dBm                     -68 dBm                     -89 dBm
11:27:46	48		-80 dBm                     -63 dBm                     -89 dBm
11:27:48	49		-80 dBm                     -63 dBm                     -89 dBm
11:27:51	50		-77 dBm                     -65 dBm                     -89 dBm
11:27:53	51		-77 dBm                     -63 dBm                     -89 dBm
11:27:55	52		-79 dBm                     -69 dBm                     -78 dBm
11:27:58	53		-79 dBm                     -64 dBm                     -78 dBm
11:28:00	54		-79 dBm                     -64 dBm                     -78 dBm
11:28:03	55		-79 dBm                     -64 dBm                     -78 dBm
11:28:05	56		-79 dBm                     -64 dBm                     -78 dBm
11:28:07	57		-79 dBm                     -65 dBm                     -78 dBm
11:28:10	58		-79 dBm                     -67 dBm                     -77 dBm
11:28:12	59		-79 dBm                     -61 dBm                     -75 dBm
11:28:14	60		-79 dBm                     -64 dBm                     -80 dBm
11:28:17	61		-79 dBm                     -71 dBm                     -82 dBm
11:28:19	62		-79 dBm                     -65 dBm                     -83 dBm
11:28:22	63		-75 dBm                     -68 dBm                     -83 dBm
11:28:24	64		-75 dBm                     -68 dBm                     -83 dBm
11:28:26	65		-77 dBm                     -62 dBm                     -83 dBm
