Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
16:06:36	1		-64 dBm                     -75 dBm                     -59 dBm
16:06:39	2		-66 dBm                     -77 dBm                     -62 dBm
16:06:41	3		-66 dBm                     -77 dBm                     -62 dBm
16:06:44	4		-65 dBm                     -76 dBm                     -62 dBm
16:06:46	5		-67 dBm                     -77 dBm                     -59 dBm
16:06:49	6		-70 dBm                     -77 dBm                     -59 dBm
16:06:51	7		-57 dBm                     -77 dBm                     -65 dBm
16:06:54	8		-60 dBm                     -78 dBm                     -62 dBm
16:06:56	9		-65 dBm                     -74 dBm                     -62 dBm
16:06:58	10		-61 dBm                     -70 dBm                     -61 dBm
16:07:01	11		-63 dBm                     -70 dBm                     -61 dBm
16:07:03	12		-63 dBm                     -77 dBm                     -60 dBm
16:07:06	13		-73 dBm                     -71 dBm                     -62 dBm
16:07:08	14		-63 dBm                     -71 dBm                     -64 dBm
16:07:10	15		-65 dBm                     -73 dBm                     -67 dBm
16:07:13	16		-70 dBm                     -79 dBm                     -58 dBm
16:07:15	17		-64 dBm                     -80 dBm                     -57 dBm
16:07:18	18		-68 dBm                     -80 dBm                     -55 dBm
16:07:20	19		-66 dBm                     -77 dBm                     -61 dBm
16:07:22	20		-67 dBm                     -77 dBm                     -57 dBm
16:07:25	21		-70 dBm                     -75 dBm                     -61 dBm
16:07:27	22		-69 dBm                     -85 dBm                     -59 dBm
16:07:30	23		-67 dBm                     -85 dBm                     -59 dBm
16:07:32	24		-60 dBm                     -79 dBm                     -56 dBm
16:07:34	25		-63 dBm                     -82 dBm                     -59 dBm
16:07:37	26		-62 dBm                     -81 dBm                     -57 dBm
16:07:39	27		-61 dBm                     -80 dBm                     -63 dBm
16:07:41	28		-63 dBm                     -82 dBm                     -55 dBm
16:07:44	29		-64 dBm                     -78 dBm                     -65 dBm
16:07:46	30		-64 dBm                     -74 dBm                     -57 dBm
16:07:49	31		-64 dBm                     -75 dBm                     -58 dBm
16:07:51	32		-66 dBm                     -78 dBm                     -54 dBm
16:07:53	33		-65 dBm                     -78 dBm                     -57 dBm
16:07:56	34		-65 dBm                     -80 dBm                     -62 dBm
16:07:58	35		-65 dBm                     -80 dBm                     -54 dBm
16:08:01	36		-72 dBm                     -80 dBm                     -41 dBm
