Time		Position	RSSI of BMTTVT_FET          RSSI of Tenda_HTVT          RSSI of TP-LINK_5268_VPK
16:33:30	1		0 dBm                       0 dBm                       0 dBm
16:33:33	2		0 dBm                       0 dBm                       0 dBm
16:33:35	3		0 dBm                       0 dBm                       -87 dBm
16:33:38	4		0 dBm                       0 dBm                       -84 dBm
16:33:40	5		0 dBm                       -88 dBm                     -84 dBm
16:33:42	6		0 dBm                       -88 dBm                     -84 dBm
16:33:44	7		0 dBm                       -89 dBm                     -84 dBm
16:33:47	8		0 dBm                       -89 dBm                     -84 dBm
16:33:49	9		0 dBm                       -89 dBm                     -86 dBm
16:33:51	10		0 dBm                       -89 dBm                     -86 dBm
16:33:54	11		0 dBm                       -89 dBm                     -86 dBm
16:33:56	12		0 dBm                       -91 dBm                     -82 dBm
16:33:58	13		0 dBm                       -88 dBm                     -82 dBm
16:34:01	14		0 dBm                       -88 dBm                     -82 dBm
16:34:03	15		0 dBm                       -88 dBm                     -85 dBm
16:34:05	16		0 dBm                       -89 dBm                     -85 dBm
16:34:08	17		0 dBm                       -89 dBm                     -85 dBm
16:34:10	18		0 dBm                       -89 dBm                     -85 dBm
16:34:12	19		0 dBm                       -89 dBm                     -85 dBm
16:34:15	20		0 dBm                       -91 dBm                     -85 dBm
16:34:17	21		0 dBm                       -85 dBm                     -86 dBm
16:34:20	22		0 dBm                       -80 dBm                     -86 dBm
16:34:22	23		0 dBm                       -80 dBm                     -90 dBm
16:34:24	24		0 dBm                       -80 dBm                     -83 dBm
16:34:27	25		0 dBm                       -80 dBm                     -83 dBm
16:34:29	26		0 dBm                       -80 dBm                     -83 dBm
16:34:31	27		0 dBm                       -77 dBm                     -83 dBm
16:34:34	28		0 dBm                       -82 dBm                     -87 dBm
16:34:36	29		0 dBm                       -85 dBm                     -87 dBm
16:34:38	30		0 dBm                       -85 dBm                     -87 dBm
16:34:41	31		-83 dBm                     -80 dBm                     -77 dBm
16:34:43	32		-83 dBm                     -87 dBm                     -80 dBm
16:34:45	33		-83 dBm                     -87 dBm                     -75 dBm
16:34:48	34		-83 dBm                     -87 dBm                     -75 dBm
16:34:50	35		-83 dBm                     -87 dBm                     -75 dBm
16:34:54	36		-83 dBm                     -87 dBm                     -75 dBm
16:34:56	37		-83 dBm                     -87 dBm                     -77 dBm
16:34:59	38		-83 dBm                     -87 dBm                     -77 dBm
16:35:01	39		-88 dBm                     -87 dBm                     -77 dBm
16:35:04	40		-88 dBm                     -87 dBm                     -77 dBm
16:35:06	41		-88 dBm                     -87 dBm                     -77 dBm
16:35:08	42		-88 dBm                     -87 dBm                     -76 dBm
16:35:11	43		-88 dBm                     -87 dBm                     -76 dBm
16:35:13	44		-88 dBm                     -87 dBm                     -77 dBm
